State,University/College ,Campus,Student enrollment,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Colorado,Colorado School of Mines,,5962,0,0,0,,0,0,50,3,46,1,0
Colorado,Colorado State University,Fort Collins,31354,2,0,2,,0,0,268,5,262,1,6
Colorado,Fort Lewis College,,3791,2,0,2,,0,0,41,4,37,0,0
Colorado,Red Rocks Community College,,8112,0,0,0,,0,0,16,1,15,0,0
Colorado,University of Colorado:,Boulder,32432,10,0,5,,1,4,462,27,426,9,4
Colorado,University of Colorado:,Colorado Springs,11761,4,0,1,,1,2,78,2,74,2,0
Colorado,University of Colorado:,Denver,22791,2,0,0,,0,2,57,1,50,6,0
Colorado,University of Northern Colorado,,12050,4,0,4,,0,0,136,3,132,1,1
Connecticut,Central Connecticut State University,,12037,1,0,1,,0,0,20,0,20,0,0
Connecticut,Eastern Connecticut State University,,5287,0,0,0,,0,0,55,3,48,4,0
Connecticut,Southern Connecticut State University,,10825,2,0,0,,1,1,50,0,48,2,0
Connecticut,University of Connecticut: ,Health Center6,,0,0,0,,0,0,5,0,5,0,0
Connecticut,University of Connecticut: ,"Storrs, Avery Point and Hartford6",,4,0,2,,1,1,193,13,169,11,2
Connecticut,Western Connecticut State University,,5952,0,0,0,,0,0,30,8,22,0,0
Connecticut,Yale University,,12336,17,0,7,,9,1,269,64,202,3,0
Delaware,Delaware State University,,4397,17,0,7,,1,9,87,8,78,1,0
Delaware,University of Delaware,,22680,5,0,1,,1,3,155,10,145,0,1
Florida,Florida A&M University,,10241,7,0,2,,3,2,192,17,168,7,0
Florida,Florida Atlantic University,,30297,3,0,2,,0,1,185,26,146,13,0
Florida,Florida Gulf Coast University,,14473,9,0,0,,1,8,71,3,67,1,0
Florida,Florida International University,,49610,16,0,5,,4,7,381,21,346,14,0
Florida,Florida Polytechnic University6,,,0,0,,0,0,0,3,0,3,0,0
Florida,Florida SouthWestern State College,,15389,4,0,2,,0,2,20,1,19,0,0
Florida,Florida State University:,Panama City6,,2,0,0,,1,1,1,0,1,0,0
Florida,Florida State University:,Tallahassee,41226,20,0,10,,2,8,388,29,307,52,3
Florida,New College of Florida,,834,1,0,1,,0,0,39,4,35,0,1
Florida,Pensacola State College,,10317,5,0,1,,0,4,34,2,32,0,0
Florida,Santa Fe College,,15055,0,0,0,,0,0,26,0,26,0,0
Florida,Tallahassee Community College,,13049,3,0,0,,1,2,75,0,74,1,0
Florida,University of Central Florida,,60767,20,0,6,,4,10,296,33,248,15,0
Florida,University of Florida,,49459,15,0,6,,4,5,477,40,425,12,0
Florida,University of North Florida,,15984,3,0,1,,0,2,111,4,105,2,0
Florida,University of South Florida: ,St. Petersburg,4491,1,0,0,,1,0,29,2,27,0,0
Florida,University of South Florida: ,Tampa,41938,9,0,1,,7,1,513,38,463,12,1
Florida,University of West Florida,,12602,8,0,5,,0,3,59,10,48,1,0
Georgia,Abraham Baldwin Agricultural College,,3458,0,0,,0,0,0,31,1,30,0,0
Georgia,Agnes Scott College,,873,0,0,,0,0,0,7,0,5,2,0
Georgia,Albany State University,,3910,4,0,,2,1,1,47,2,45,0,0
Georgia,Andrew College,,303,0,0,,0,0,0,13,3,10,0,0
Georgia,Armstrong Atlantic State University,,7094,1,0,,0,0,1,50,5,43,2,0
Georgia,Augusta Technical College,,4269,0,0,,0,0,0,8,0,8,0,0
Georgia,Bainbridge State College,,2470,0,0,,0,0,0,0,0,0,0,0
Georgia,Berry College,,2177,0,0,,0,0,0,49,6,43,0,0
Georgia,Chattahoochee Technical College,,9942,0,0,,0,0,0,6,0,6,0,0
Georgia,Clayton State University,,7022,4,1,,2,0,1,28,3,24,1,0
Georgia,College of Coastal Georgia,,3008,0,0,,0,0,0,14,3,11,0,0
Georgia,Columbus State University,,8192,5,0,,4,1,0,44,5,39,0,0
Georgia,Dalton State College,,4854,0,0,,0,0,0,8,2,6,0,0
Georgia,Darton State College,,5623,1,0,,0,1,0,28,1,27,0,0
Georgia,Emory University,,14769,10,0,,8,0,2,437,22,403,12,0
Georgia,Fort Valley State University,,2594,1,0,,1,0,0,21,0,21,0,0
Georgia,Georgia College and State University,,6772,2,0,,2,0,0,84,7,69,8,0
Georgia,Georgia Institute of Technology,,23109,13,0,,1,8,4,341,27,298,16,0
Georgia,Georgia Military College,,7262,0,0,,0,0,0,3,0,3,0,0
Georgia,Georgia Perimeter College,,21371,1,0,,0,1,0,76,1,74,1,0
Georgia,Georgia Regents University,,7988,2,0,,0,1,1,107,1,103,3,0
Georgia,Georgia Southern University,,20517,7,0,,3,3,1,135,4,131,0,0
Georgia,Georgia Southwestern State University,,2666,2,0,,0,0,2,63,1,60,2,0
Georgia,Georgia State University,,32556,20,0,,2,14,4,261,6,249,6,0
Georgia,Gordon State College,,4047,2,0,,0,2,0,25,1,24,0,0
Georgia,Gwinnett Technical College,,7234,0,0,,0,0,0,10,0,10,0,0
Georgia,Kennesaw State University,,25714,12,0,,6,1,5,213,15,192,6,0
Georgia,Mercer University,,8552,2,0,,0,0,2,79,7,70,2,0
Georgia,Middle Georgia State College,,7927,5,0,,3,0,2,27,5,22,0,0
Georgia,Piedmont College,,2120,0,0,,0,0,0,0,0,0,0,0
Georgia,Savannah State University,,4915,13,1,,0,6,6,174,29,143,2,1
Georgia,Southern Crescent Technical College,,4898,0,0,,0,0,0,8,1,7,0,0
Georgia,South Georgia State College,,2611,0,0,,0,0,0,11,4,7,0,0
Georgia,Spelman College,,2135,0,0,,0,0,0,24,3,21,0,0
Georgia,University of Georgia,,35197,20,0,,12,3,5,378,41,333,4,0
Georgia,University of North Georgia,,16064,1,0,,1,0,0,30,0,28,2,0
Georgia,University of West Georgia,,12206,5,0,,0,4,1,122,21,101,0,0
Georgia,Valdosta State University,,11563,6,0,,0,6,0,114,13,99,2,0
Georgia,West Georgia Technical College,,6536,0,0,,0,0,0,23,0,22,1,0
Georgia,Young Harris College,,1218,0,0,,0,0,0,4,0,4,0,0
Illinois,Benedictine University,Lisle,6307,0,0,0,,0,0,33,6,27,0,0
Illinois,Black Hawk College: ,Kewanee6,,0,0,0,,0,0,1,0,1,0,0
Illinois,Black Hawk College: ,Moline,6307,0,0,0,,0,0,16,8,8,0,0
Illinois,Chicago State University,,5211,2,0,0,,2,0,23,1,22,0,0
Illinois,College of DuPage,,29476,0,0,0,,0,0,32,1,31,0,0
Illinois,College of Lake County,,15410,1,0,0,,1,0,47,2,44,1,0
Illinois,Eastern Illinois University,,8913,17,0,5,,5,7,57,5,52,0,1
Illinois,Elgin Community College,,10929,1,0,0,,0,1,9,0,9,0,0
Illinois,Illinois Central College,,10296,0,0,0,,0,0,39,6,33,0,0
Illinois,John Wood Community College,,1900,0,0,0,,0,0,2,0,2,0,0
Illinois,Joliet Junior College,,15776,2,0,0,,0,2,17,0,17,0,0
Illinois,Kankakee Community College,,3378,0,0,0,,0,0,1,0,1,0,0
Illinois,Lake Land College,,5593,1,1,0,,0,0,7,0,7,0,0
Illinois,Lewis University,,6689,5,0,4,,0,1,11,0,11,0,0
Illinois,Lincoln Land Community College,,7006,0,0,0,,0,0,12,0,12,0,0
Illinois,Loyola University,,15902,15,0,7,,7,1,126,1,124,1,0
Illinois,McHenry County College,,6567,0,0,0,,0,0,10,0,10,0,0
Illinois,Millikin University,,2190,0,0,0,,0,0,33,1,31,1,0
Illinois,Moraine Valley Community College,,15286,0,0,0,,0,0,67,0,67,0,0
Illinois,Morton College,,4653,0,0,0,,0,0,10,0,10,0,0
Illinois,Northeastern Illinois University,,10275,0,0,0,,0,0,35,0,35,0,0
Illinois,Northern Illinois University,,20611,17,0,7,,3,7,170,11,156,3,1
Illinois,Oakton Community College,,10589,0,0,0,,0,0,13,0,13,0,0
Illinois,Parkland College,,8443,1,0,0,,0,1,25,2,23,0,0
Illinois,Rend Lake College,,2970,0,0,0,,0,0,2,0,2,0,0
Illinois,Southern Illinois University:,Carbondale,17989,9,0,5,,0,4,219,35,184,0,0
Illinois,Southern Illinois University:,Edwardsville,13972,10,0,2,,1,7,107,12,94,1,0
Illinois,Southern Illinois University:,School of Medicine6,,1,0,0,,0,1,10,2,8,0,0
Illinois,South Suburban College,,4329,0,0,0,,0,0,19,3,16,0,0
Illinois,Southwestern Illinois College,,10545,2,0,1,,0,1,27,1,24,2,0
Illinois,University of Chicago,Cook County,15097,4,0,0,,4,0,266,16,248,2,0
Illinois,University of Illinois: ,Springfield,5431,3,0,0,,0,3,31,2,28,1,0
Illinois,University of Illinois: ,Urbana,45140,14,0,8,,4,2,322,5,313,4,1
Illinois,Western Illinois University,,11458,9,0,6,,0,3,89,10,79,0,3
Indiana,Ball State University,,20655,10,0,6,,4,0,228,29,196,3,0
Indiana,Butler University,,4848,6,0,4,,1,1,121,10,109,2,0
Indiana,Indiana State University,,13183,9,0,,0,1,8,225,4,220,1,0
Indiana,Indiana University: ,Bloomington,46416,38,0,18,,0,20,306,46,249,11,
Indiana,Indiana University: ,Indianapolis,30690,12,0,4,,4,4,228,18,201,9,0
Indiana,Indiana University: ,Northwest,6052,1,0,0,,0,1,20,3,17,0,
Indiana,Indiana University: ,Southeast,6442,3,0,3,,0,0,9,1,8,0,0
Indiana,Marian University,,2771,0,0,,0,0,0,36,4,32,0,
Indiana,Purdue University,,39752,9,0,7,,2,0,348,29,314,5,2
Iowa,Iowa State University,,34435,17,0,8,,2,7,249,12,231,6,0
Iowa,University of Iowa,,29970,11,0,3,,2,6,255,27,224,4,1
Iowa,University of Northern Iowa,,11928,2,0,1,,0,1,103,9,94,0,0
Kansas,Emporia State University,,6114,1,0,0,,0,1,24,2,22,0,0
Kansas,Fort Hays State University,,13825,1,0,1,,0,0,45,12,33,0,0
Kansas,Kansas City Kansas Community College,,6198,0,0,0,,0,0,36,2,34,0,0
Kansas,Kansas State University,,24766,5,0,1,,1,3,103,6,96,1,0
Kansas,Pittsburg State University,,7479,2,0,0,,1,1,46,2,44,0,0
Kansas,University of Kansas: ,Main Campus,27180,5,0,1,,1,3,177,24,147,6,1
Kansas,University of Kansas: ,Medical Center6,,16,0,1,,2,13,152,6,141,5,0
Kansas,Washburn University,,6722,1,0,1,,0,0,57,6,47,4,1
Kansas,Wichita State University,,14995,4,1,0,,3,0,87,5,81,1,0
Kentucky,Eastern Kentucky University,,16305,3,0,0,,2,1,158,17,138,3,2
Kentucky,Kentucky State University,,1895,0,0,0,,0,0,14,2,12,0,0
Kentucky,Morehead State University,,11052,3,0,3,,0,0,21,2,18,1,0
Kentucky,Murray State University,,11207,4,0,3,,0,1,97,12,84,1,1
Kentucky,Northern Kentucky University,,15090,2,0,2,,0,0,69,4,63,2,0
Kentucky,University of Kentucky,,29203,4,0,0,,0,4,465,12,422,31,1
Kentucky,University of Louisville,,21561,7,0,2,,4,1,247,23,216,8,0
Kentucky,Western Kentucky University,,20171,1,0,1,,0,0,97,16,79,2,1
Louisiana,Delgado Community College,,17152,0,0,0,,0,0,14,1,12,1,0
Louisiana,Dillard University,,1200,3,0,2,,0,1,45,18,27,0,0
Louisiana,Grambling State University,,4504,10,0,0,,4,6,122,31,91,0,0
Louisiana,Louisiana State University: ,Baton Rouge,31044,10,0,2,,5,3,446,70,348,28,0
Louisiana,Louisiana State University: ,Eunice,2738,0,0,0,,0,0,0,0,0,0,0
Louisiana,Louisiana State University: ,"Health Sciences Center, New Orleans",2828,0,0,0,,0,0,0,0,0,0,0
Louisiana,Louisiana State University: ,"Health Sciences Center, Shreveport",870,3,0,0,,0,3,27,2,23,2,0
Louisiana,Louisiana State University: ,Shreveport,4186,2,0,1,,0,1,17,4,13,0,0
Louisiana,Louisiana Tech University,,11225,3,0,0,,1,2,83,22,60,1,0
Louisiana,McNeese State University,,8237,0,0,0,,0,0,11,0,11,0,0
Louisiana,Nicholls State University,,6292,1,0,1,,0,0,22,0,22,0,0
Louisiana,Northwestern State University,,9002,3,0,2,,0,1,57,11,45,1,0
Louisiana,Southern University and A&M College: ,Baton Rouge,6330,6,0,0,,1,5,135,13,118,4,0
Louisiana,Southern University and A&M College: ,New Orleans,2103,0,0,0,,0,0,0,0,0,0,0
Louisiana,Southern University and A&M College: ,Shreveport,2952,0,0,0,,0,0,2,0,2,0,0
Louisiana,Tulane University,,12603,9,0,0,,8,1,326,24,298,4,1
Louisiana,University of Louisiana: ,Lafayette,17195,19,0,3,,3,13,175,23,146,6,1
Louisiana,University of Louisiana: ,Monroe,8517,4,0,2,,2,0,45,6,38,1,0
Louisiana,University of New Orleans,,9234,5,0,1,,1,3,67,10,53,4,0
Maine,University of Maine: ,Farmington,1960,6,0,,6,0,0,11,1,10,0,0
Maine,University of Maine: ,Orono,11286,1,0,,1,0,0,133,2,131,0,3
Maine,University of Southern Maine,,8428,1,0,,1,0,0,26,1,25,0,2
Maryland,Bowie State University,,5695,5,0,1,,2,2,49,22,27,0,0
Maryland,Coppin State University,,3133,1,0,0,,0,1,66,21,42,3,0
Maryland,Frostburg State University,,5645,0,0,0,,0,0,45,6,37,2,0
Maryland,Hagerstown Community College,,4615,0,0,0,,0,0,1,1,0,0,0
Maryland,Morgan State University,,7698,11,0,0,,4,7,110,14,95,1,0
Maryland,Salisbury University,,8770,5,0,5,,0,0,86,4,82,0,0
Maryland,St. Mary's College,,1721,3,0,2,,1,0,51,5,42,4,0
Maryland,Towson University,,22285,4,0,2,,0,2,120,11,106,3,0
Maryland,University of Baltimore,,6422,0,0,0,,0,0,50,3,46,1,0
Maryland,University of Maryland: ,Baltimore City,6276,13,0,0,,4,9,87,2,84,1,0
Maryland,University of Maryland: ,Baltimore County,13979,2,0,1,,0,1,73,4,68,1,0
Maryland,University of Maryland: ,College Park,37610,10,0,6,,1,3,444,48,367,29,0
Maryland,University of Maryland: ,Eastern Shore,4279,14,0,8,,1,5,64,21,43,0,1
Massachusetts,Amherst College,,1792,12,0,12,,0,0,57,7,49,1,
Massachusetts,Assumption College,,2719,4,0,2,,0,2,24,3,21,0,0
Massachusetts,Babson College,,3049,14,0,13,,0,1,29,0,29,0,
Massachusetts,Becker College,,2021,3,0,1,,0,2,17,1,16,0,
Massachusetts,Bentley University,,5565,7,0,5,,0,2,47,13,34,0,
Massachusetts,Boston College,,14317,4,0,2,,0,2,148,15,132,1,
Massachusetts,Boston University,,32112,20,0,8,,3,9,402,16,382,4,0
Massachusetts,Brandeis University,,5945,2,0,2,,0,0,55,6,49,0,
Massachusetts,Bridgewater State University,,11187,16,0,8,,0,8,47,4,43,0,0
Massachusetts,Bristol Community College,,9189,0,0,0,,0,0,12,0,12,0,
Massachusetts,Bunker Hill Community College,,14253,1,0,0,,0,1,57,0,56,1,
Massachusetts,Cape Cod Community College,,3818,0,0,0,,0,0,6,2,3,1,
Massachusetts,Clark University,,3423,7,0,1,,2,4,64,8,56,0,
Massachusetts,College of the Holy Cross,,2787,5,0,5,,0,0,27,7,19,1,
Massachusetts,Curry College,,3141,0,0,0,,0,0,0,0,0,0,
Massachusetts,Dean College,,1325,1,0,0,,0,1,34,3,31,0,0
Massachusetts,Emerson College,,4545,5,0,1,,2,2,56,6,50,0,
Massachusetts,Endicott College,,4429,0,0,0,,0,0,0,0,0,0,
Massachusetts,Fisher College,,1875,4,0,0,,0,4,21,4,17,0,
Massachusetts,Fitchburg State University,,6810,6,0,0,,0,6,32,1,31,0,
Massachusetts,Framingham State University,,6499,0,0,0,,0,0,29,0,28,1,
Massachusetts,Gordon College,,2105,1,0,1,,0,0,52,0,52,0,
Massachusetts,Greenfield Community College,,2127,0,0,0,,0,0,13,0,13,0,
Massachusetts,Hampshire College,,1376,1,0,1,,0,0,41,10,31,0,1
Massachusetts,Harvard University,,28791,6,0,4,,2,0,531,43,484,4,
Massachusetts,Lasell College,,2070,7,0,1,,0,6,25,2,23,0,
Massachusetts,Massachusetts Bay Community College,,5369,1,0,0,,0,1,11,0,11,0,
Massachusetts,Massachusetts College of Art,,2095,0,0,0,,0,0,52,0,52,0,
Massachusetts,Massachusetts College of Liberal Arts,,1765,2,0,0,,1,1,22,2,20,0,0
Massachusetts,Massachusetts Institute of Technology,,11319,6,0,0,,1,5,392,23,369,0,0
Massachusetts,Massasoit Community College,,7905,0,0,0,,0,0,22,1,21,0,0
Massachusetts,MCPHS University,,6935,1,0,0,,0,1,14,0,14,0,
Massachusetts,Merrimack College,,3337,3,0,2,,0,1,41,8,33,0,
Massachusetts,Mount Holyoke College,,2255,0,0,0,,0,0,52,5,47,0,0
Massachusetts,Mount Ida College,,1320,3,0,2,,0,1,27,4,23,0,
Massachusetts,Mount Waschusett Community College,,4336,0,0,0,,0,0,7,0,7,0,
Massachusetts,Northeastern University,,19798,19,0,12,,1,6,430,8,421,1,
Massachusetts,North Shore Community College,,7412,1,0,0,,0,1,6,0,6,0,
Massachusetts,Regis College,,1912,1,0,0,,0,1,3,1,2,0,
Massachusetts,Salem State University,,9267,5,0,2,,0,3,66,11,55,0,0
Massachusetts,Smith College,,2989,1,0,1,,0,0,59,4,55,0,0
Massachusetts,Springfield College,,3178,1,0,1,,0,0,40,2,38,0,
Massachusetts,Springfield Technical Community College,,6622,3,0,0,,0,3,34,2,32,0,0
Massachusetts,Stonehill College,,2284,10,0,6,,0,4,13,4,9,0,
Massachusetts,Tufts University:,Medford,10907,8,0,2,,2,4,87,17,70,0,0
Massachusetts,Tufts University:,Suffolk6,,1,0,1,,0,0,19,3,16,0,0
Massachusetts,Tufts University:,Worcester6,,0,0,0,,0,0,3,0,3,0,0
Massachusetts,University of Massachusetts: ,Dartmouth,9111,14,0,7,,1,6,91,3,87,1,
Massachusetts,University of Massachusetts: ,"Harbor Campus, Boston",16756,4,0,0,,0,4,62,0,61,1,0
Massachusetts,University of Massachusetts: ,"Medical Center, Worcester",1103,9,0,0,,0,9,80,0,80,0,0
Massachusetts,Wellesley College,,2323,0,0,0,,0,0,28,1,27,0,
Massachusetts,Wentworth Institute of Technology,,4558,2,0,0,,1,1,56,0,56,0,
Massachusetts,Western New England University,,3922,4,0,3,,0,1,47,3,44,0,
Massachusetts,Westfield State University,,6321,5,0,2,,0,3,46,2,43,1,0
Massachusetts,Wheaton College,,1587,1,0,0,,0,1,5,0,5,0,
Massachusetts,Worcester Polytechnic Institute,,6381,2,0,0,,0,2,58,2,56,0,0
Michigan,Central Michigan University,,26879,4,0,3,,0,1,77,6,70,1,0
Michigan,Delta College,,9842,0,0,0,,0,0,15,0,15,0,0
Michigan,Eastern Michigan University,,22401,16,0,6,,5,5,154,10,138,6,7
Michigan,Ferris State University,,14600,1,0,1,,0,0,51,3,48,0,0
Michigan,Grand Rapids Community College,,15668,1,0,0,,1,0,57,1,56,0,0
Michigan,Kalamazoo Valley Community College,,9489,1,0,0,,0,1,31,0,30,1,0
Michigan,Kirtland Community College,,1773,0,0,0,,0,0,0,0,0,0,0
Michigan,Lansing Community College,,16031,1,0,0,,1,0,69,0,69,0,0
Michigan,Macomb Community College,,22914,0,0,0,,0,0,37,1,34,2,0
Michigan,Michigan State University,,50081,27,0,13,,3,11,546,66,456,24,2
Michigan,Michigan Technological University,,7099,1,0,1,,0,0,42,1,41,0,1
Michigan,Mott Community College,,8937,3,0,0,,1,2,66,5,59,2,1
Michigan,Northern Michigan University,,8781,0,0,0,,0,0,77,0,76,1,0
Michigan,Oakland Community College,,24031,1,0,0,,0,1,23,0,22,1,0
Michigan,Oakland University,,20519,4,0,2,,1,1,39,3,33,3,0
Michigan,Saginaw Valley State University,,9829,5,0,4,,0,1,50,6,43,1,0
Michigan,Schoolcraft College,,11542,0,0,0,,0,0,43,0,43,0,0
Michigan,University of Michigan: ,Ann Arbor,43625,17,0,6,,5,6,681,18,656,7,4
Michigan,University of Michigan: ,Dearborn,8923,0,0,0,,0,0,43,1,41,1,0
Michigan,University of Michigan: ,Flint,8574,1,0,0,,1,0,78,5,72,1,0
Michigan,Western Michigan University,,23914,13,0,4,,4,5,133,2,131,0,1
Minnesota,University of Minnesota:,Duluth,11093,1,0,1,,0,0,49,10,39,0,0
Minnesota,University of Minnesota:,Morris,1899,0,0,0,,0,0,9,2,7,0,0
Minnesota,University of Minnesota:,Twin Cities,51147,15,0,2,,8,5,486,31,445,10,0
Mississippi,Coahoma Community College,,2045,2,0,,0,0,2,10,10,0,0,0
Mississippi,Jackson State University,,9508,19,0,4,,12,3,221,37,183,1,0
Mississippi,Mississippi State University,,20138,8,0,,3,1,4,193,12,176,5,0
Mississippi,Northeast Mississippi Community College,,3538,0,0,,0,0,0,26,2,24,0,0
Mississippi,University of Mississippi: ,Medical Center6,,2,0,,0,1,1,107,3,103,1,0
Mississippi,University of Mississippi: ,Oxford,22503,10,0,,8,1,1,178,10,168,0,0
Missouri,Jefferson College,,4882,0,0,0,,0,0,4,0,4,0,0
Missouri,Metropolitan Community College,,18222,0,0,0,,0,0,51,0,48,3,0
Missouri,Mineral Area College,,4632,0,0,0,,0,0,3,0,3,0,0
Missouri,Missouri Southern State University,,5613,1,0,0,,1,0,43,4,38,1,0
Missouri,Missouri University of Science and Technology,,8640,1,0,0,,1,0,58,5,52,1,0
Missouri,Missouri Western State University,,5834,2,0,2,,0,0,14,2,12,0,0
Missouri,Northwest Missouri State University,,6720,2,0,2,,0,0,59,3,56,0,0
Missouri,Southeast Missouri State University,,12087,2,0,2,,0,0,26,5,19,2,0
Missouri,St. Charles Community College,,7153,0,0,0,,0,0,10,0,10,0,0
